DOI	Sample_name	Noble_or_not	Multi_or_not	Co_or_not	Fe_or_not	Ni_or_not	SSA (m2/g)	Electrolyte	pH	Tafel slope (mV/dec)	Current_density (mA/cm2)	Overpotential (mV)
10.1016/j.jallcom.2023.169383	P-Co3O4/NiO	0	1	1	0	1	103.7	1.0 M KOH	14	77	50	353 
10.1016/j.jallcom.2023.169383	P-Co3O4/NiO	0	1	1	0	1	103.7	1.0 M KOH	14	77	20	302 
10.1016/j.jallcom.2023.169383	P-Co3O4/NiO	0	1	1	0	1	103.7	1.0 M KOH	14	77	10	283 
10.1016/j.jallcom.2022.167210	CoO-500	0	0	1	0	0	68.4	1.0 M KOH	14	67.5	50	393 
10.1016/j.jallcom.2022.167210	CoO-500	0	0	1	0	0	68.4	1.0 M KOH	14	67.5	20	344 
10.1016/j.jallcom.2022.167210	CoO-500	0	0	1	0	0	68.4	1.0 M KOH	14	67.5	10	317 
10.1016/j.jallcom.2022.166338	P-NiO/NiCo2O4	0	1	1	0	1	19.88	1.0 M KOH	14	49.6	100	360 
10.1016/j.jallcom.2022.166338	P-NiO/NiCo2O4	0	1	1	0	1	19.88	1.0 M KOH	14	49.6	50	320 
10.1016/j.jallcom.2022.166338	P-NiO/NiCo2O4	0	1	1	0	1	19.88	1.0 M KOH	14	49.6	20	303 
10.1016/j.jallcom.2022.166338	P-NiO/NiCo2O4	0	1	1	0	1	19.88	1.0 M KOH	14	49.6	10	290 
10.1016/j.jallcom.2021.162113	Cu-RuO2-300	1	1	0	0	0	6.39	0.5 M H2SO4	0.3	55	100	267 
10.1016/j.jallcom.2021.162113	Cu-RuO2-300	1	1	0	0	0	6.39	0.5 M H2SO4	0.3	55	50	245 
10.1016/j.jallcom.2021.162113	Cu-RuO2-300	1	1	0	0	0	6.39	0.5 M H2SO4	0.3	55	20	219 
10.1016/j.jallcom.2021.162113	Cu-RuO2-300	1	1	0	0	0	6.39	0.5 M H2SO4	0.3	55	10	201 
10.1016/j.inoche.2019.02.041	V-Co/CoO@C	0	1	1	0	0	298	1.0 M KOH	14	143	50	441 
10.1016/j.inoche.2019.02.041	V-Co/CoO@C	0	1	1	0	0	298	1.0 M KOH	14	143	20	372 
